,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_H,0.08,0.049,-0.016,0.165,0.001,0.0,5916.0,3693.0,1.0
log_gamma_mu,-3.776,0.339,-4.448,-3.18,0.014,0.002,620.0,9545.0,1.01
gamma_raw[0],-0.161,0.274,-0.669,0.387,0.007,0.002,1462.0,13304.0,1.01
gamma_raw[1],-0.988,0.961,-2.718,0.819,0.016,0.007,3950.0,5420.0,1.01
gamma_raw[2],0.127,1.533,-3.119,2.092,0.024,0.017,5154.0,2892.0,1.0
gamma_raw[3],-1.637,1.223,-3.744,1.095,0.016,0.012,5640.0,3326.0,1.0
gamma_raw[4],-1.458,0.804,-3.036,-0.023,0.008,0.005,10180.0,7584.0,1.0
gamma_raw[5],-1.173,0.778,-2.646,0.268,0.008,0.006,10150.0,7874.0,1.0
gamma_raw[6],-0.883,0.733,-2.284,0.455,0.008,0.006,8955.0,4676.0,1.0
g_factor_scaled,70.838,0.276,70.307,71.318,0.004,0.003,6451.0,3329.0,1.0
a_raw_H,6.062,0.167,5.762,6.389,0.002,0.002,5733.0,3679.0,1.0
eps_bg_scaled,250.665,0.955,249.106,252.279,0.01,0.005,8992.0,13066.0,1.0
log_gamma_sd,1.347,0.302,0.815,1.936,0.004,0.004,6184.0,3182.0,1.0
a_scale_scaled,61.829,1.707,58.771,65.169,0.023,0.016,5733.0,3679.0,1.0
B4_scaled,133.679,81.297,-26.08,275.921,1.067,0.764,5916.0,3693.0,1.0
B6_scaled,0.0,0.0,0.0,0.0,0.0,,50000.0,50000.0,
gamma_vec[0],0.018,0.001,0.016,0.021,0.0,0.0,7073.0,4455.0,1.0
gamma_vec[1],0.013,0.017,0.0,0.049,0.0,0.0,3187.0,3381.0,1.01
gamma_vec[2],0.06,0.05,0.0,0.142,0.001,0.001,4722.0,4354.0,1.0
gamma_vec[3],0.013,0.034,0.0,0.084,0.0,0.001,4641.0,2670.0,1.0
gamma_vec[4],0.006,0.008,0.0,0.017,0.0,0.0,7749.0,5062.0,1.0
gamma_vec[5],0.008,0.009,0.0,0.023,0.0,0.0,8218.0,6162.0,1.0
gamma_vec[6],0.01,0.01,0.0,0.028,0.0,0.0,8457.0,3549.0,1.0
gamma_vec_scaled[0],1.829,0.121,1.61,2.062,0.001,0.001,7073.0,4455.0,1.0
gamma_vec_scaled[1],1.308,1.736,0.002,4.869,0.031,0.033,3187.0,3381.0,1.01
gamma_vec_scaled[2],6.024,4.967,0.0,14.218,0.064,0.051,4722.0,4354.0,1.0
gamma_vec_scaled[3],1.344,3.382,0.0,8.372,0.042,0.079,4641.0,2670.0,1.0
gamma_vec_scaled[4],0.58,0.755,0.001,1.687,0.007,0.013,7749.0,5062.0,1.0
gamma_vec_scaled[5],0.783,0.874,0.005,2.333,0.008,0.012,8218.0,6162.0,1.0
gamma_vec_scaled[6],1.048,0.975,0.005,2.818,0.009,0.014,8457.0,3549.0,1.0
gamma_1_scaled,1.829,0.121,1.61,2.062,0.001,0.001,7073.0,4455.0,1.0
gamma_2_scaled,1.308,1.736,0.002,4.869,0.031,0.033,3187.0,3381.0,1.01
gamma_3_scaled,6.024,4.967,0.0,14.218,0.064,0.051,4722.0,4354.0,1.0
gamma_4_scaled,1.344,3.382,0.0,8.372,0.042,0.079,4641.0,2670.0,1.0
gamma_5_scaled,0.58,0.755,0.001,1.687,0.007,0.013,7749.0,5062.0,1.0
gamma_6_scaled,0.783,0.874,0.005,2.333,0.008,0.012,8218.0,6162.0,1.0
gamma_7_scaled,1.048,0.975,0.005,2.818,0.009,0.014,8457.0,3549.0,1.0
gamma_mean_scaled,2.425,0.831,1.059,3.966,0.031,0.007,620.0,9545.0,1.01
gamma_std_scaled,134.715,30.229,81.5,193.561,0.415,0.45,6184.0,3182.0,1.0
