label,B,T,rmse_pol,rmse_full,peak_mae_ghz,peak_max_err_ghz,fwhm_mae_ghz,n_obs_peaks,n_pred_peaks,n_penalized_peaks
4K,9.0,4.0,0.18811307245761769,0.22270984964150722,17.098192476795504,24.425989252565007,9.309491039828158,2,2,0
10K,9.0,10.0,0.1849947884312746,0.24676888682192952,19.540791402052005,24.425989252565007,6.497627031963194,2,2,0
20K,9.0,20.0,0.1788297671415702,0.23860662924283518,14.655593551539003,19.540791402052005,7.121587091243644,2,2,0
30K,9.0,30.0,0.16415936071063103,0.21334422787649945,14.655593551539003,19.540791402052005,12.596524851652472,2,2,0
4.2T,4.2,1.5,0.33378240629901895,0.30794486300776613,19.540791402052005,24.425989252565007,11.950376990539455,2,2,0
5.0T,5.0,1.5,0.2816380479533521,0.30608585955865886,19.540791402052005,24.425989252565007,18.46019273906169,2,2,0
6.0T,6.0,1.5,0.1494909502153387,0.2564981161355229,19.540791402052005,24.425989252565007,14.148090438047781,2,2,0
7.0T,7.0,1.5,0.07066148530990699,0.2193575345721628,17.098192476795504,24.425989252565007,11.7259905156339,2,2,0
8.0T,8.0,1.5,0.14705193736881586,0.24129411184617333,19.540791402052005,24.425989252565007,10.15824269370487,2,2,0
9.0T,9.0,1.5,0.19956363476571706,0.19628812794739162,7.327796775769501,9.770395701026002,7.924960249903627,2,2,0
