,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_B,-0.046,0.051,-0.142,0.048,0.0,0.0,27166.0,26851.0,1.0
B6_raw_B,0.002,0.016,-0.027,0.031,0.0,0.0,28185.0,22872.0,1.0
log_gamma_mu,-3.316,0.323,-3.907,-2.703,0.002,0.002,23291.0,19239.0,1.0
gamma_raw[0],0.125,0.369,-0.579,0.81,0.002,0.002,23916.0,19457.0,1.0
gamma_raw[1],-2.382,0.54,-3.396,-1.404,0.004,0.006,18922.0,15237.0,1.0
gamma_raw[2],1.295,0.496,0.438,2.235,0.005,0.007,14006.0,12626.0,1.0
gamma_raw[3],-0.122,0.806,-1.467,1.403,0.005,0.005,24384.0,18551.0,1.0
gamma_raw[4],-0.527,0.593,-1.64,0.582,0.004,0.003,25660.0,17441.0,1.0
gamma_raw[5],-0.659,0.597,-1.804,0.434,0.004,0.003,25880.0,24678.0,1.0
gamma_raw[6],-0.637,0.639,-1.897,0.506,0.003,0.003,34261.0,31005.0,1.0
g_factor_scaled,78.119,0.261,77.633,78.609,0.001,0.001,33326.0,33066.0,1.0
a_raw_B,5.673,0.416,4.925,6.374,0.003,0.002,25649.0,14430.0,1.0
eps_bg_scaled,249.408,0.522,248.48,250.397,0.003,0.002,32305.0,32255.0,1.0
log_gamma_sd,1.068,0.215,0.677,1.467,0.002,0.002,12939.0,7533.0,1.0
a_scale_scaled,57.866,4.244,50.239,65.017,0.026,0.017,25649.0,14430.0,1.0
B4_scaled,-76.347,84.944,-237.52,80.907,0.516,0.323,27166.0,26851.0,1.0
B6_scaled,47.452,388.219,-670.479,781.938,2.314,1.581,28185.0,22872.0,1.0
gamma_vec[0],0.042,0.009,0.026,0.057,0.0,0.0,24041.0,20430.0,1.0
gamma_vec[1],0.003,0.001,0.001,0.006,0.0,0.0,25542.0,14630.0,1.0
gamma_vec[2],0.142,0.04,0.073,0.218,0.0,0.0,19491.0,14041.0,1.0
gamma_vec[3],0.043,0.037,0.005,0.114,0.0,0.0,21417.0,10485.0,1.0
gamma_vec[4],0.024,0.013,0.005,0.049,0.0,0.0,30786.0,16741.0,1.0
gamma_vec[5],0.021,0.012,0.003,0.043,0.0,0.0,22976.0,18599.0,1.0
gamma_vec[6],0.022,0.013,0.002,0.045,0.0,0.0,33651.0,31374.0,1.0
gamma_vec_scaled[0],4.216,0.916,2.642,5.662,0.006,0.003,24041.0,20430.0,1.0
gamma_vec_scaled[1],0.33,0.135,0.092,0.583,0.001,0.001,25542.0,14630.0,1.0
gamma_vec_scaled[2],14.185,3.996,7.281,21.782,0.03,0.034,19491.0,14041.0,1.0
gamma_vec_scaled[3],4.272,3.66,0.495,11.445,0.027,0.032,21417.0,10485.0,1.0
gamma_vec_scaled[4],2.375,1.297,0.508,4.922,0.008,0.007,30786.0,16741.0,1.0
gamma_vec_scaled[5],2.093,1.157,0.343,4.297,0.009,0.011,22976.0,18599.0,1.0
gamma_vec_scaled[6],2.199,1.28,0.17,4.508,0.007,0.006,33651.0,31374.0,1.0
gamma_1_scaled,4.216,0.916,2.642,5.662,0.006,0.003,24041.0,20430.0,1.0
gamma_2_scaled,0.33,0.135,0.092,0.583,0.001,0.001,25542.0,14630.0,1.0
gamma_3_scaled,14.185,3.996,7.281,21.782,0.03,0.034,19491.0,14041.0,1.0
gamma_4_scaled,4.272,3.66,0.495,11.445,0.027,0.032,21417.0,10485.0,1.0
gamma_5_scaled,2.375,1.297,0.508,4.922,0.008,0.007,30786.0,16741.0,1.0
gamma_6_scaled,2.093,1.157,0.343,4.297,0.009,0.011,22976.0,18599.0,1.0
gamma_7_scaled,2.199,1.28,0.17,4.508,0.007,0.006,33651.0,31374.0,1.0
gamma_mean_scaled,3.825,1.291,1.79,6.243,0.009,0.009,23291.0,19239.0,1.0
gamma_std_scaled,106.837,21.487,67.686,146.676,0.193,0.182,12939.0,7533.0,1.0
