,g,a,B4,B6,eps_bg,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_1_B,a_B
g,1.0000000000000002,-0.21773941953018455,0.08670445629534766,0.0026554700991671797,0.1661045550377898,-0.16696178846977705,0.09695387478228168,-0.05439674969431571,0.04444218709052163,-0.06809836286545895,0.05124403557539293,0.03633954554035169,0.017528850427512992,0.2602111064222466
a,-0.21773941953018333,1.0,-0.00044717688900580807,0.0009540744295974835,0.4412500380218766,0.08065600624590955,-0.012290122685939668,0.0057383580386679445,0.015469217178237658,0.01679434978050754,-0.010574510714526695,0.00032252303649416117,-0.050393845706156536,-0.8680723962736517
B4,0.08670445629534773,-0.00044717688900582434,1.0,-4.624992517911716e-05,-0.0004617844232922228,0.014978304656196328,-0.007821479783826512,-0.004912917776481632,0.0017702984147593246,-0.003121148138647417,0.0018727494077589296,0.0005596777140526487,-0.008122953613206462,-0.013830115990330313
B6,0.002655470099167172,0.0009540744295974954,-4.624992517911803e-05,1.0000000000000002,0.00010548828365252743,0.0007442234796818728,-0.00017670218325543827,-0.000349658171291884,0.00017300490252222968,3.169023765795834e-05,-3.839002558263565e-06,5.2602781172884404e-05,-0.0017328932212055679,-0.0013242444260170695
eps_bg,0.16610455503779165,0.44125003802187485,-0.0004617844232921978,0.00010548828365252306,1.0,-0.16313295450663012,0.07258738141018346,-0.026210225521478062,0.04445876907582342,-0.04188094951626219,0.038637115038008846,0.022752874608838895,0.08486974494389302,-0.2603880720142231
gamma_1,-0.16696178846977683,0.08065600624590792,0.014978304656196139,0.0007442234796818536,-0.16313295450663087,1.0,-0.03771708508741847,0.0024907564187676063,0.002533765447613758,0.03458788605582075,-0.02728313286208863,-0.010041737322930943,-0.8749252386505656,-0.09246874922214464
gamma_2,0.0969538747822809,-0.01229012268594427,-0.007821479783826649,-0.0001767021832554347,0.07258738141018099,-0.03771708508741927,1.0,0.5825524273400979,-0.5761280496590772,-0.42104821730911873,0.4274915764205994,-0.013401897449868565,-0.13944691946355703,0.2312596514815076
gamma_3,-0.05439674969431906,0.005738358038670638,-0.00491291777648165,-0.00034965817129187026,-0.026210225521477833,0.002490756418766669,0.5825524273400993,1.0,-0.9536162223537055,-0.07147874137287727,0.14598183473555443,-0.11099444411911011,0.027729482121860535,0.17018150940838922
gamma_4,0.04444218709052463,0.015469217178235514,0.0017702984147594345,0.00017300490252221838,0.04445876907582196,0.002533765447614122,-0.5761280496590782,-0.9536162223537047,1.0000000000000002,0.16959494815674334,-0.221813209170053,0.10446829287868584,-0.027880059953769694,-0.11360146345821534
gamma_5,-0.06809836286546385,0.01679434978052825,-0.0031211481386473052,3.169023765797821e-05,-0.04188094951625376,0.03458788605582143,-0.4210482173091225,-0.0714787413728814,0.16959494815674772,1.0000000000000002,-0.476679307431765,-0.6601102983122954,-0.029712450294371157,-0.006786137141393146
gamma_6,0.051244035575392616,-0.01057451071452948,0.0018727494077588776,-3.839002558264115e-06,0.03863711503800691,-0.02728313286208819,0.4274915764205971,0.14598183473554885,-0.22181320917004765,-0.47667930743176423,1.0,-0.2715023939356255,-0.0028580846345950817,0.035736347339166016
gamma_7,0.036339545540356795,0.0003225230364726867,0.0005596777140526039,5.260278117286212e-05,0.022752874608831634,-0.010041737322932256,-0.013401897449860685,-0.11099444411909783,0.10446829287867371,-0.660110298312297,-0.27150239393562464,0.9999999999999999,0.02442285147456728,-0.008834303246265773
gamma_1_B,0.017528850427514127,-0.05039384570616387,-0.008122953613205915,-0.001732893221205567,0.08486974494388266,-0.8749252386505659,-0.13944691946355317,0.027729482121866895,-0.027880059953776928,-0.029712450294371726,-0.0028580846345929063,0.024422851474565,1.0,0.008065660991767164
a_B,0.2602111064222452,-0.8680723962736512,-0.013830115990330329,-0.0013242444260170578,-0.26038807201422426,-0.0924687492221473,0.2312596514815048,0.17018150940839377,-0.11360146345821923,-0.006786137141373486,0.03573634733916463,-0.008834303246286828,0.008065660991761184,1.0
