,g,a,B4,B6,eps_bg,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_1_B,a_B
g,1.0000000000000002,-0.4496029129749685,0.08823431755356195,0.003424694522884956,-0.09780385815134125,-0.10581877267808074,-0.04564829402718379,-0.00872998129739498,0.019934091173703684,-0.004307771578352902,0.02284443303166997,-0.01823373225169038,0.06161809732531386,0.1353932629765048
a,-0.4496029129749691,1.0,0.00618106238002145,0.0013317348135786712,0.4339043827083165,-0.08324083881583841,0.041801585100043774,0.009275093889384151,0.01451806603375973,0.03039589795951206,-0.02015786626195073,0.017182492868990273,0.023121714258733654,-0.660056857956025
B4,0.08823431755356198,0.00618106238002145,1.0,-8.512480743432206e-05,0.005888183487972206,0.015212642734273061,0.0003698735526888012,0.004451301524151634,-0.0009652021209360968,-0.0001578108940900119,-9.99852440698508e-05,0.0011335284567774594,-0.009860033589592872,-0.01348802587453466
B6,0.0034246945228849682,0.001331734813578671,-8.51248074343205e-05,1.0,-0.000691159048998929,0.0019585750285417056,2.9854002703324224e-05,2.5312451853873255e-05,0.00010681798105799097,2.568805864393706e-06,7.191645604637445e-05,-6.551936509211292e-05,-0.002038094899214216,-0.0016842798868073035
eps_bg,-0.0978038581513418,0.43390438270831655,0.005888183487972267,-0.0006911590489989285,1.0000000000000002,-0.19707121028790103,0.03991017502519621,-0.017263203808974933,0.04606802017971734,0.019681085920650432,-0.020997629920817405,0.026359970483050093,0.05817361186894929,-0.13410976672594346
gamma_1,-0.10581877267808353,-0.08324083881583463,0.015212642734272957,0.001958575028541708,-0.19707121028789448,1.0,-0.16362716110141345,-0.09407822706971983,0.07908599761705035,0.09657295799934122,-0.029946811321517688,0.0031959566225973164,-0.7337033110648675,0.0004930022561649145
gamma_2,-0.04564829402718706,0.041801585100044295,0.00036987355268816845,2.9854002703312108e-05,0.039910175025193506,-0.16362716110140715,1.0,0.712119763703055,-0.6759516728632828,-0.6741072609338914,0.17809021085045307,-0.013577331655639584,-0.1597706076774051,0.2694048271290786
gamma_3,-0.008729981297400826,0.009275093889384037,0.004451301524150997,2.531245185384724e-05,-0.017263203808976803,-0.09407822706971063,0.7121197637030521,1.0,-0.9604408537299836,-0.387831836414886,0.08806855758751055,-0.0033162346512674475,0.017656814074000177,0.23698968070900212
gamma_4,0.01993409117370818,0.014518066033761705,-0.0009652021209355348,0.00010681798105801337,0.04606802017972149,0.07908599761704081,-0.6759516728632812,-0.9604408537299844,1.0,0.4417129336056076,-0.05401426053881264,-0.0537980390557555,-0.028150054529728488,-0.1498387351696096
gamma_5,-0.004307771578350436,0.030395897959508745,-0.00015781089408970942,2.5688058643820554e-06,0.0196810859206547,0.09657295799933809,-0.674107260933894,-0.3878318364148898,0.44171293360561104,1.0,-0.546135123004931,0.25037174177180593,0.048156480459506636,-0.07122928808808016
gamma_6,0.022844433031666517,-0.020157866261935376,-9.998524406975507e-05,7.191645604639796e-05,-0.020997629920806393,-0.02994681132151965,0.17809021085045232,0.08806855758750672,-0.05401426053880974,-0.5461351230049328,0.9999999999999999,-0.9334265381333888,-0.04885795003154768,0.03796625557566992
gamma_7,-0.018233732251687673,0.01718249286897905,0.0011335284567773464,-6.551936509213375e-05,0.0263599704830424,0.0031959566225988447,-0.013577331655633315,-0.003316234651256216,-0.053798039055764024,0.25037174177180704,-0.9334265381333895,1.0000000000000002,0.03362472659846296,-0.012572591815301813
gamma_1_B,0.061618097325315556,0.02312171425873121,-0.009860033589592905,-0.0020380948992142303,0.05817361186894161,-0.7337033110648666,-0.15977060767740647,0.017656814073998318,-0.028150054529726555,0.04815648045950846,-0.04885795003154981,0.03362472659846485,0.9999999999999999,-0.13752652122805487
a_B,0.13539326297650384,-0.660056857956025,-0.01348802587453485,-0.0016842798868073126,-0.13410976672594294,0.0004930022561685256,0.26940482712907765,0.23698968070900078,-0.1498387351696075,-0.0712292880880835,0.03796625557568504,-0.012572591815317662,-0.13752652122805673,1.0
