label,B,T,RMSE_all,RMSE_pol,RMSE_cav,FWHM_obs_GHz,FWHM_pred_GHz,FWHM_err_GHz,peak_freq_obs_THz,peak_freq_pred_THz,peak_err_GHz
4K,9.0,4.0,0.12056194365113539,0.09406040645353829,0.13135709887528155,75.19603536391442,75.91368043409346,0.717645070179046,0.7821501105416222,0.7758125249173682,6.337585624254016
10K,9.0,10.0,0.11267166403566918,0.07642386616351254,0.12812948548528585,73.33896578967604,76.5135340325032,3.1745682428271635,0.7799074809127808,0.7748634826595572,5.043998253223658
20K,9.0,20.0,0.11570919723512743,0.0623972204486245,0.13792956966883646,70.14000486930112,76.70611854775834,6.566113678457219,0.773178540745553,0.7730584253063911,0.12011543916190526
30K,9.0,30.0,0.12870385152772923,0.08485443240806627,0.15109925971340887,77.76484831146303,76.52759201364691,1.2372562978161112,0.7706558828405026,0.7717217450381604,1.0658621976578075
4.2T,4.2,1.5,0.1400207590660034,0.02733657886478191,0.1718637646721647,74.0332348125053,78.42720758284105,4.39397277033575,0.7756563210627584,0.7771217941768069,1.4654731140485433
5.0T,5.0,1.5,0.12802557159570566,0.036745914520163334,0.15755739323089069,82.72359745935812,78.27161593059864,4.451981528759474,0.776812220734897,0.7775086690220195,0.6964482871225641
6.0T,6.0,1.5,0.11763271190430145,0.06369508927928719,0.14070646660642827,77.67694027473215,77.90139882123766,0.22445854650550434,0.7772595509837972,0.7778595500426333,0.5999990588361204
7.0T,7.0,1.5,0.1167372368847526,0.09730171582135888,0.1315300755215963,75.2172068080916,70.24221945238887,4.974987355702732,0.5243466525249443,0.5282497547127497,3.9031021878054295
8.0T,8.0,1.5,0.13937400303806577,0.12656136604485796,0.15146637233087648,73.97241707682709,78.14014065650196,4.167723579674876,0.7806526560100259,0.7882812151655285,7.6285591555026455
9.0T,9.0,1.5,0.12903407541454506,0.1312226867126913,0.13265996913104655,72.39269990523552,70.40662295257695,1.9860769526585664,0.5303984537143127,0.5332634275814603,2.864973867147569
