label,B,T,RMSE_all,RMSE_pol,RMSE_cav,FWHM_obs_GHz,FWHM_pred_GHz,FWHM_err_GHz,peak_freq_obs_THz,peak_freq_pred_THz,peak_err_GHz
4K,9.0,4.0,0.12071113945583141,0.0929919438197659,0.13206307874502748,75.19603536391442,75.98136703290672,0.7853316689922923,0.7821501105416222,0.7760715198421608,6.0785906994613725
10K,9.0,10.0,0.11304216511570414,0.07340841219366476,0.1296247942342277,73.33896578967604,76.56971641395359,3.230750624277551,0.7799074809127808,0.775011583705436,4.895897207344846
20K,9.0,20.0,0.11649351698204033,0.0533449475073755,0.14049588154635412,70.14000486930112,76.73955405930444,6.599549190003315,0.773178540745553,0.773129805372158,0.048735373395003556
30K,9.0,30.0,0.1336342378744558,0.08549532537243304,0.15763055749884186,77.76484831146303,76.54170972498288,1.223138586480141,0.7706558828405026,0.7718183522775162,1.1624694370135913
4.2T,4.2,1.5,0.13395255200751158,0.04382963641119812,0.16409674251865974,74.0332348125053,77.50827785348982,3.4750430409845183,0.7756563210627584,0.7759771729237905,0.32085186103214536
5.0T,5.0,1.5,0.1260955677882897,0.04947601374842419,0.1539109885765344,82.72359745935812,77.36658842095078,5.357009038407343,0.776812220734897,0.7762690953541778,0.5431253807192116
6.0T,6.0,1.5,0.12318620198136744,0.06642494388732322,0.1474419680973292,77.67694027473215,77.11781102730292,0.5591292474292353,0.7772595509837972,0.7766611279625468,0.5984230212503494
7.0T,7.0,1.5,0.11729920063265413,0.0868426575248455,0.13503869221887393,75.2172068080916,68.7984524544684,6.418754353623199,0.5243466525249443,0.526711544580535,2.3648920555907615
8.0T,8.0,1.5,0.13622270212615914,0.12281510769465381,0.14651152262407133,73.97241707682709,77.92754390030206,3.955126823474972,0.7806526560100259,0.7884456421486661,7.792986138640212
9.0T,9.0,1.5,0.13034083493140158,0.13195311594034684,0.13368354080822223,72.39269990523552,71.18923733771531,1.2034625675201998,0.5303984537143127,0.5348725973060457,4.474143591733037
