,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_B,0.023,0.047,-0.072,0.106,0.002,0.001,732.0,768.0,1.0
B6_raw_B,-0.0,0.014,-0.028,0.025,0.0,0.0,1123.0,944.0,1.0
log_gamma_mu,-4.136,0.391,-4.887,-3.453,0.016,0.009,606.0,660.0,1.01
gamma_raw[0],-1.676,0.459,-2.517,-0.808,0.014,0.01,1070.0,820.0,1.0
gamma_raw[1],-1.338,0.655,-2.567,-0.142,0.022,0.017,877.0,1023.0,1.0
gamma_raw[2],-0.807,0.682,-2.076,0.46,0.022,0.019,957.0,753.0,1.0
gamma_raw[3],-0.434,0.861,-2.123,1.131,0.028,0.024,964.0,912.0,1.0
gamma_raw[4],-0.394,0.8,-1.969,1.098,0.026,0.018,910.0,934.0,1.0
gamma_raw[5],-0.387,0.778,-1.948,1.011,0.025,0.021,942.0,824.0,1.0
gamma_raw[6],-0.25,0.797,-1.784,1.196,0.026,0.021,921.0,880.0,1.0
g_factor_scaled,78.463,0.489,77.554,79.337,0.016,0.011,980.0,899.0,1.01
a_raw_B,6.607,0.204,6.259,7.037,0.007,0.006,1016.0,822.0,1.0
eps_bg_scaled,244.536,1.737,240.934,247.704,0.061,0.04,802.0,846.0,1.0
log_gamma_sd,0.949,0.291,0.446,1.489,0.01,0.009,979.0,810.0,1.0
a_scale_scaled,67.387,2.081,63.843,71.774,0.068,0.062,1016.0,822.0,1.0
B4_scaled,38.568,79.371,-119.932,177.455,2.926,1.806,732.0,768.0,1.0
B6_scaled,-10.298,353.072,-692.077,616.833,10.557,8.002,1123.0,944.0,1.0
gamma_vec[0],0.004,0.001,0.002,0.005,0.0,0.0,977.0,846.0,1.01
gamma_vec[1],0.005,0.003,0.001,0.01,0.0,0.0,886.0,1029.0,1.0
gamma_vec[2],0.009,0.005,0.001,0.018,0.0,0.0,933.0,884.0,1.0
gamma_vec[3],0.015,0.021,0.001,0.031,0.001,0.003,950.0,941.0,1.0
gamma_vec[4],0.014,0.01,0.001,0.032,0.0,0.0,865.0,816.0,1.0
gamma_vec[5],0.014,0.01,0.001,0.033,0.0,0.0,894.0,740.0,1.0
gamma_vec[6],0.016,0.011,0.001,0.034,0.0,0.0,847.0,903.0,1.01
gamma_vec_scaled[0],0.355,0.085,0.219,0.514,0.003,0.003,977.0,846.0,1.01
gamma_vec_scaled[1],0.514,0.277,0.076,1.015,0.009,0.01,886.0,1029.0,1.0
gamma_vec_scaled[2],0.862,0.532,0.071,1.791,0.017,0.024,933.0,884.0,1.0
gamma_vec_scaled[3],1.471,2.112,0.053,3.131,0.065,0.348,950.0,941.0,1.0
gamma_vec_scaled[4],1.367,0.974,0.054,3.185,0.033,0.035,865.0,816.0,1.0
gamma_vec_scaled[5],1.387,1.007,0.073,3.284,0.034,0.04,894.0,740.0,1.0
gamma_vec_scaled[6],1.561,1.108,0.089,3.432,0.039,0.041,847.0,903.0,1.01
gamma_1_scaled,0.355,0.085,0.219,0.514,0.003,0.003,977.0,846.0,1.01
gamma_2_scaled,0.514,0.277,0.076,1.015,0.009,0.01,886.0,1029.0,1.0
gamma_3_scaled,0.862,0.532,0.071,1.791,0.017,0.024,933.0,884.0,1.0
gamma_4_scaled,1.471,2.112,0.053,3.131,0.065,0.348,950.0,941.0,1.0
gamma_5_scaled,1.367,0.974,0.054,3.185,0.033,0.035,865.0,816.0,1.0
gamma_6_scaled,1.387,1.007,0.073,3.284,0.034,0.04,894.0,740.0,1.0
gamma_7_scaled,1.561,1.108,0.089,3.432,0.039,0.041,847.0,903.0,1.01
gamma_mean_scaled,1.726,0.708,0.607,2.897,0.029,0.028,606.0,660.0,1.01
gamma_std_scaled,94.942,29.135,44.611,148.872,0.971,0.859,979.0,810.0,1.0
