,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_B,-0.058,0.045,-0.142,0.026,0.0,0.0,19664.0,34582.0,1.0
log_gamma_mu,-3.606,0.335,-4.245,-2.99,0.003,0.003,9916.0,4996.0,1.0
gamma_raw[0],-0.255,0.31,-0.85,0.335,0.003,0.003,13429.0,9074.0,1.0
gamma_raw[1],-2.109,0.739,-3.33,-1.076,0.013,0.031,10056.0,4545.0,1.0
gamma_raw[2],1.343,0.659,0.431,2.467,0.011,0.026,7005.0,1776.0,1.0
gamma_raw[3],-0.946,0.571,-2.096,0.026,0.005,0.004,15674.0,2998.0,1.0
gamma_raw[4],-0.864,0.573,-1.944,0.179,0.004,0.003,23315.0,9582.0,1.0
gamma_raw[5],-0.871,0.621,-2.048,0.298,0.004,0.004,22361.0,9624.0,1.0
gamma_raw[6],-0.701,0.678,-2.032,0.536,0.005,0.004,16851.0,5566.0,1.0
g_factor_scaled,77.869,0.185,77.518,78.207,0.001,0.001,20080.0,28850.0,1.0
a_raw_B,4.724,0.084,4.564,4.877,0.001,0.001,10183.0,4550.0,1.0
eps_bg_scaled,251.348,0.697,249.893,252.433,0.005,0.003,17806.0,33563.0,1.0
log_gamma_sd,1.112,0.231,0.711,1.552,0.003,0.003,10066.0,2679.0,1.0
a_scale_scaled,48.181,0.858,46.549,49.741,0.01,0.015,10183.0,4550.0,1.0
B4_scaled,-96.616,74.996,-236.789,43.264,0.535,0.266,19664.0,34582.0,1.0
B6_scaled,0.0,0.0,0.0,0.0,0.0,,50000.0,50000.0,
gamma_vec[0],0.02,0.001,0.018,0.023,0.0,0.0,12660.0,4837.0,1.0
gamma_vec[1],0.005,0.016,0.0,0.006,0.0,0.002,7050.0,2869.0,1.0
gamma_vec[2],0.118,0.03,0.069,0.177,0.0,0.001,10393.0,4620.0,1.0
gamma_vec[3],0.011,0.008,0.002,0.021,0.0,0.0,10741.0,2888.0,1.0
gamma_vec[4],0.012,0.006,0.002,0.024,0.0,0.0,26495.0,36987.0,1.0
gamma_vec[5],0.012,0.008,0.001,0.026,0.0,0.0,18800.0,9237.0,1.0
gamma_vec[6],0.016,0.011,0.001,0.035,0.0,0.0,21306.0,5378.0,1.0
gamma_vec_scaled[0],2.029,0.138,1.779,2.289,0.002,0.002,12660.0,4837.0,1.0
gamma_vec_scaled[1],0.497,1.62,0.027,0.633,0.046,0.2,7050.0,2869.0,1.0
gamma_vec_scaled[2],11.813,3.036,6.894,17.681,0.04,0.066,10393.0,4620.0,1.0
gamma_vec_scaled[3],1.118,0.8,0.171,2.097,0.005,0.032,10741.0,2888.0,1.0
gamma_vec_scaled[4],1.209,0.645,0.173,2.355,0.004,0.003,26495.0,36987.0,1.0
gamma_vec_scaled[5],1.243,0.755,0.065,2.569,0.004,0.004,18800.0,9237.0,1.0
gamma_vec_scaled[6],1.558,1.052,0.073,3.47,0.006,0.006,21306.0,5378.0,1.0
gamma_1_scaled,2.029,0.138,1.779,2.289,0.002,0.002,12660.0,4837.0,1.0
gamma_2_scaled,0.497,1.62,0.027,0.633,0.046,0.2,7050.0,2869.0,1.0
gamma_3_scaled,11.813,3.036,6.894,17.681,0.04,0.066,10393.0,4620.0,1.0
gamma_4_scaled,1.118,0.8,0.171,2.097,0.005,0.032,10741.0,2888.0,1.0
gamma_5_scaled,1.209,0.645,0.173,2.355,0.004,0.003,26495.0,36987.0,1.0
gamma_6_scaled,1.243,0.755,0.065,2.569,0.004,0.004,18800.0,9237.0,1.0
gamma_7_scaled,1.558,1.052,0.073,3.47,0.006,0.006,21306.0,5378.0,1.0
gamma_mean_scaled,2.873,0.996,1.23,4.708,0.012,0.019,9916.0,4996.0,1.0
gamma_std_scaled,111.197,23.113,71.104,155.236,0.262,0.322,10066.0,2679.0,1.0
