label,B,T,rmse_pol,rmse_full,peak_mae_ghz,peak_max_err_ghz,fwhm_mae_ghz,n_obs_peaks,n_pred_peaks,n_penalized_peaks
4K,9.0,4.0,0.25040169208792784,0.23308718252220229,17.098192476795504,24.425989252565007,8.6873415985429,2,2,0
10K,9.0,10.0,0.18378369894535923,0.2469358919774841,19.540791402052005,24.425989252565007,6.870612220390749,2,2,0
20K,9.0,20.0,0.17953838407638337,0.23575705210128803,12.212994626282503,19.540791402052005,6.731936156018966,2,2,0
30K,9.0,30.0,0.15632560026079953,0.20702066865259883,14.655593551539003,19.540791402052005,12.39060210632317,2,2,0
4.2T,4.2,1.5,0.3099903216206121,0.3005078691748276,19.540791402052005,24.425989252565007,11.933671467343254,2,2,0
5.0T,5.0,1.5,0.24709163573091802,0.29299794301744525,19.540791402052005,24.425989252565007,18.206440121318785,2,2,0
6.0T,6.0,1.5,0.12314814834791304,0.24701349648326065,19.540791402052005,24.425989252565007,13.671113965711665,2,2,0
7.0T,7.0,1.5,0.10394237931334553,0.2160420299733415,17.098192476795504,24.425989252565007,11.044802216294704,2,2,0
8.0T,8.0,1.5,0.18851033665066028,0.21469851476136098,9.770395701026002,14.655593551539003,7.22745913520835,2,2,0
9.0T,9.0,1.5,0.25909281204506435,0.21858998912872116,9.770395701026002,14.655593551539003,6.714432423407746,2,2,0
