,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_H,0.05,0.021,0.01,0.085,0.0,0.0,55738.0,68648.0,1.0
B6_raw_H,-0.0,0.005,-0.009,0.009,0.0,0.0,34221.0,51821.0,1.0
log_gamma_mu,-3.163,0.139,-3.431,-2.905,0.003,0.001,2385.0,1999.0,1.01
gamma_raw[0],-0.361,0.289,-0.902,0.196,0.003,0.001,9454.0,6138.0,1.0
gamma_raw[1],-1.975,0.38,-2.685,-1.293,0.004,0.001,7809.0,32157.0,1.0
gamma_raw[2],-1.534,0.377,-2.262,-0.853,0.002,0.001,30539.0,31347.0,1.0
gamma_raw[3],-0.598,0.527,-1.568,0.417,0.003,0.003,34215.0,50080.0,1.0
gamma_raw[4],1.024,0.698,-0.35,2.292,0.003,0.002,47270.0,55247.0,1.0
gamma_raw[5],0.638,0.691,-0.653,1.922,0.003,0.002,41675.0,30579.0,1.0
gamma_raw[6],0.397,0.752,-1.007,1.804,0.003,0.002,54130.0,64083.0,1.0
g_factor_scaled,71.761,0.075,71.617,71.9,0.0,0.0,48609.0,28107.0,1.0
a_raw_H,4.782,0.034,4.719,4.847,0.0,0.0,56439.0,37811.0,1.0
eps_bg_scaled,237.534,0.063,237.434,237.629,0.0,0.0,46016.0,41501.0,1.0
log_gamma_sd,0.485,0.074,0.352,0.627,0.002,0.0,1042.0,4817.0,1.01
a_scale_scaled,48.772,0.343,48.138,49.44,0.001,0.001,56439.0,37811.0,1.0
B4_scaled,81.881,32.273,26.951,125.4,0.137,0.078,52690.0,105879.0,1.0
B6_scaled,-1.757,121.064,-223.172,231.218,0.653,0.339,34221.0,51821.0,1.0
gamma_vec[0],0.035,0.0,0.035,0.036,0.0,0.0,73344.0,52668.0,1.0
gamma_vec[1],0.017,0.001,0.015,0.018,0.0,0.0,60152.0,67689.0,1.0
gamma_vec[2],0.02,0.002,0.017,0.024,0.0,0.0,59191.0,50759.0,1.0
gamma_vec[3],0.032,0.007,0.022,0.045,0.0,0.0,54763.0,38116.0,1.0
gamma_vec[4],0.072,0.022,0.032,0.111,0.0,0.0,50742.0,53666.0,1.0
gamma_vec[5],0.06,0.02,0.029,0.098,0.0,0.0,45115.0,52540.0,1.0
gamma_vec[6],0.055,0.021,0.022,0.093,0.0,0.0,35128.0,54168.0,1.0
gamma_vec_scaled[0],3.544,0.034,3.482,3.609,0.0,0.0,73344.0,52668.0,1.0
gamma_vec_scaled[1],1.654,0.087,1.492,1.818,0.0,0.0,60152.0,67689.0,1.0
gamma_vec_scaled[2],2.042,0.189,1.71,2.413,0.001,0.001,59191.0,50759.0,1.0
gamma_vec_scaled[3],3.217,0.69,2.151,4.453,0.004,0.007,54763.0,38116.0,1.0
gamma_vec_scaled[4],7.232,2.224,3.201,11.108,0.01,0.014,50742.0,53666.0,1.0
gamma_vec_scaled[5],6.025,1.977,2.896,9.777,0.009,0.008,45115.0,52540.0,1.0
gamma_vec_scaled[6],5.468,2.113,2.231,9.299,0.012,0.018,35128.0,54168.0,1.0
gamma_1_scaled,3.544,0.034,3.482,3.609,0.0,0.0,73344.0,52668.0,1.0
gamma_2_scaled,1.654,0.087,1.492,1.818,0.0,0.0,60152.0,67689.0,1.0
gamma_3_scaled,2.042,0.189,1.71,2.413,0.001,0.001,59191.0,50759.0,1.0
gamma_4_scaled,3.217,0.69,2.151,4.453,0.004,0.007,54763.0,38116.0,1.0
gamma_5_scaled,7.232,2.224,3.201,11.108,0.01,0.014,50742.0,53666.0,1.0
gamma_6_scaled,6.025,1.977,2.896,9.777,0.009,0.008,45115.0,52540.0,1.0
gamma_7_scaled,5.468,2.113,2.231,9.299,0.012,0.018,35128.0,54168.0,1.0
gamma_mean_scaled,4.27,0.598,3.153,5.389,0.014,0.006,2385.0,1999.0,1.01
gamma_std_scaled,48.452,7.388,35.153,62.711,0.233,0.033,1042.0,4817.0,1.01
